Species;Genus;Family
Chromis cyanea;Chromis;Pomacentridae
Chromis dimidiata;Chromis;Pomacentridae
Chromis elerae;Chromis;Pomacentridae
Chromis flavaxilla;Chromis;Pomacentridae
Chromis flavipectoralis;Chromis;Pomacentridae
Chromis flavomaculata;Chromis;Pomacentridae
Chromis fumea;Chromis;Pomacentridae
Chromis hanui;Chromis;Pomacentridae
Chromis hypsilepis;Chromis;Pomacentridae
Chromis insolata;Chromis;Pomacentridae
Chromis iomelas;Chromis;Pomacentridae
Chromis lepidolepis;Chromis;Pomacentridae
Chromis lineata;Chromis;Pomacentridae
Chromis margaritifer;Chromis;Pomacentridae
Chromis multilineata;Chromis;Pomacentridae
Chromis nigrura;Chromis;Pomacentridae
Chromis nitida;Chromis;Pomacentridae
Chromis notata;Chromis;Pomacentridae
Chromis opercularis;Chromis;Pomacentridae
Chromis ovalis;Chromis;Pomacentridae
Chromis pamae;Chromis;Pomacentridae
Chromis pembae;Chromis;Pomacentridae
Chromis randalli;Chromis;Pomacentridae
Chromis retrofasciata;Chromis;Pomacentridae
Chromis scotochiloptera;Chromis;Pomacentridae
Chromis scotti;Chromis;Pomacentridae
Chromis ternatensis;Chromis;Pomacentridae
Chromis vanderbilti;Chromis;Pomacentridae
Chromis viridis;Chromis;Pomacentridae
Chromis weberi;Chromis;Pomacentridae
Chromis xanthochira;Chromis;Pomacentridae
Chromis xanthura;Chromis;Pomacentridae
Chromis xutha;Chromis;Pomacentridae
Chrysiptera biocellata;Chrysiptera;Pomacentridae
Chrysiptera bleekeri;Chrysiptera;Pomacentridae
Chrysiptera brownriggii;Chrysiptera;Pomacentridae
Chrysiptera caesifrons;Chrysiptera;Pomacentridae
Chrysiptera cyanea;Chrysiptera;Pomacentridae
Chrysiptera flavipinnis;Chrysiptera;Pomacentridae
Chrysiptera galba;Chrysiptera;Pomacentridae
Chrysiptera glauca;Chrysiptera;Pomacentridae
Chrysiptera hemicyanea;Chrysiptera;Pomacentridae
Chrysiptera notialis;Chrysiptera;Pomacentridae
Chrysiptera oxycephala;Chrysiptera;Pomacentridae
Chrysiptera parasema;Chrysiptera;Pomacentridae
Chrysiptera rapanui;Chrysiptera;Pomacentridae
Chrysiptera rex;Chrysiptera;Pomacentridae
Chrysiptera rollandi;Chrysiptera;Pomacentridae
Chrysiptera springeri;Chrysiptera;Pomacentridae
Chrysiptera starcki;Chrysiptera;Pomacentridae
Chrysiptera talboti;Chrysiptera;Pomacentridae
Chrysiptera taupou;Chrysiptera;Pomacentridae
Chrysiptera traceyi;Chrysiptera;Pomacentridae
Chrysiptera tricincta;Chrysiptera;Pomacentridae
Chrysiptera unimaculata;Chrysiptera;Pomacentridae
Cirrhilabrus  scottorum;Cirrhilabrus;Labridae
Cirrhilabrus cyanopleura;Cirrhilabrus;Labridae
Cirrhilabrus exquisitus;Cirrhilabrus;Labridae
Cirrhilabrus flavidorsalis;Cirrhilabrus;Labridae
Cirrhilabrus katherinae;Cirrhilabrus;Labridae
Cirrhilabrus laboutei;Cirrhilabrus;Labridae
Cirrhilabrus lineatus;Cirrhilabrus;Labridae
Cirrhilabrus punctatus;Cirrhilabrus;Labridae
Cirrhilabrus randalli;Cirrhilabrus;Labridae
Cirrhilabrus scottorum;Cirrhilabrus;Labridae
Cirrhilabrus solorensis;Cirrhilabrus;Labridae
Cirrhilabrus temminckii;Cirrhilabrus;Labridae
Cirrhilabrus walindi;Cirrhilabrus;Labridae
Cirrhitichthys aprinus;Cirrhitichthys;Cirrhitidae
Cirrhitichthys falco;Cirrhitichthys;Cirrhitidae
Cirrhitichthys oxycephalus;Cirrhitichthys;Cirrhitidae
Cirrhitops fasciatus;Cirrhitops;Cirrhitidae
Cirrhitops hubbardi;Cirrhitops;Cirrhitidae
Cirrhitus pinnulatus;Cirrhitus;Cirrhitidae
Cirrhitus rivulatus;Cirrhitus;Cirrhitidae
Cirripectes alboapicalis;Cirripectes;Blenniidae
Cirripectes alleni;Cirripectes;Blenniidae
Cirripectes auritus;Cirripectes;Blenniidae
Cirripectes castaneus;Cirripectes;Blenniidae
Cirripectes chelomatus;Cirripectes;Blenniidae
Cirripectes filamentosus;Cirripectes;Blenniidae
Cirripectes fuscoguttatus;Cirripectes;Blenniidae
Cirripectes polyzona;Cirripectes;Blenniidae
Cirripectes springeri;Cirripectes;Blenniidae
Cirripectes stigmaticus;Cirripectes;Blenniidae
Cirripectes vanderbilti;Cirripectes;Blenniidae
Cirripectes variolosus;Cirripectes;Blenniidae
Clepticus parrae;Clepticus;Labridae
Coradion altivelis;Coradion;Chaetodontidae
Coradion chrysozonus;Coradion;Chaetodontidae
Coris auricularis;Coris;Labridae
Coris aurilineata;Coris;Labridae
Coris aygula;Coris;Labridae
Coris batuensis;Coris;Labridae
Coris bulbifrons;Coris;Labridae
Coris caudimacula;Coris;Labridae
Coris centralis;Coris;Labridae
Coris cuvieri;Coris;Labridae
Coris debueni;Coris;Labridae
Coris dorsomacula;Coris;Labridae
Coris formosa;Coris;Labridae
Coris gaimard;Coris;Labridae
Coris hewetti;Coris;Labridae
Coris picta;Coris;Labridae
Coris pictoides;Coris;Labridae
Coris roseoviridis;Coris;Labridae
Coris sandeyeri;Coris;Labridae
Coris venusta;Coris;Labridae
Coryphopterus dicrus;Coryphopterus;Gobiidae
Coryphopterus eidolon;Coryphopterus;Gobiidae
Coryphopterus glaucofraenum;Coryphopterus;Gobiidae
Coryphopterus hyalinus;Coryphopterus;Gobiidae
Coryphopterus lipernes;Coryphopterus;Gobiidae
Coryphopterus personatus;Coryphopterus;Gobiidae
Coryphopterus tortugae;Coryphopterus;Gobiidae
Coryphopterus urospilus;Coryphopterus;Gobiidae
Corythoichthys conspicillatus;Corythoichthys;Syngnathidae
Corythoichthys haematopterus;Corythoichthys;Syngnathidae
Corythoichthys intestinalis;Corythoichthys;Syngnathidae
Corythoichthys schultzi;Corythoichthys;Syngnathidae
Crenimugil crenilabis;Crenimugil;Mugilidae
Crossosalarias macrospilus;Crossosalarias;Blenniidae
Cryptocentrus caeruleomaculatus;Cryptocentrus;Gobiidae
Cryptocentrus caeruleopunctatus;Cryptocentrus;Gobiidae
Cryptocentrus cinctus;Cryptocentrus;Gobiidae
Cryptocentrus cryptocentrus;Cryptocentrus;Gobiidae
Cryptocentrus fasciatus;Cryptocentrus;Gobiidae
Cryptocentrus leptocephalus;Cryptocentrus;Gobiidae
Cryptocentrus strigilliceps;Cryptocentrus;Gobiidae
Ctenochaetus binotatus;Ctenochaetus;Acanthuridae
Ctenochaetus cyanocheilus;Ctenochaetus;Acanthuridae
Ctenochaetus flavicauda;Ctenochaetus;Acanthuridae
Ctenochaetus hawaiiensis;Ctenochaetus;Acanthuridae
Ctenochaetus marginatus;Ctenochaetus;Acanthuridae
Ctenochaetus striatus;Ctenochaetus;Acanthuridae
Ctenochaetus tominiensis;Ctenochaetus;Acanthuridae
Ctenochaetus truncatus;Ctenochaetus;Acanthuridae
Ctenogobiops crocineus;Ctenogobiops;Gobiidae
Ctenogobiops feroculus;Ctenogobiops;Gobiidae
Ctenogobiops mitodes;Ctenogobiops;Gobiidae
Ctenogobiops pomastictus;Ctenogobiops;Gobiidae
Ctenogobiops tangaroai;Ctenogobiops;Gobiidae
Cyclichthys orbicularis;Cyclichthys;Diodontidae
Cymbacephalus beauforti;Cymbacephalus;Platycephalidae
Cypho purpurascens;Cypho;Pseudochromidae
Cypho zaps;Cypho;Pseudochromidae
Cyprinocirrhites polyactis;Cyprinocirrhites;Cirrhitidae
Dascyllus albisella;Dascyllus;Pomacentridae
Dascyllus aruanus;Dascyllus;Pomacentridae
Dascyllus carneus;Dascyllus;Pomacentridae
Dascyllus flavicaudus;Dascyllus;Pomacentridae
Dascyllus melanurus;Dascyllus;Pomacentridae
Dascyllus reticulatus;Dascyllus;Pomacentridae
Dascyllus strasburgi;Dascyllus;Pomacentridae
Dascyllus trimaculatus;Dascyllus;Pomacentridae
Dasyatis americana;Dasyatis;Dasyatidae
Dasyatis brevis;Dasyatis;Dasyatidae
Dasyatis longa;Dasyatis;Dasyatidae
Dasyatis thetidis;Dasyatis;Dasyatidae
Decapterus macarellus;Decapterus;Carangidae
Decapterus punctatus;Decapterus;Carangidae
Dendrochirus barberi;Dendrochirus;Scorpaenidae
Dendrochirus zebra;Dendrochirus;Scorpaenidae
Dermatolepis dermatolepis;Dermatolepis;Serranidae
Diademichthys lineatus;Diademichthys;Gobiesocidae
Diagramma labiosum;Diagramma;Haemulidae
Diagramma melanacrum;Diagramma;Haemulidae
Diodon holocanthus;Diodon;Diodontidae
Diodon hystrix;Diodon;Diodontidae
Diodon liturosus;Diodon;Diodontidae
Diplodus argenteus;Diplodus;Sparidae
Diplogrammus goramensis;Diplogrammus;Callionymidae
Diploprion bifasciatum;Diploprion;Serranidae
Diproctacanthus xanthurus;Diproctacanthus;Labridae
Dischistodus chrysopoecilus;Dischistodus;Pomacentridae
Dischistodus darwiniensis;Dischistodus;Pomacentridae
Dischistodus melanotus;Dischistodus;Pomacentridae
Dischistodus perspicillatus;Dischistodus;Pomacentridae
Dischistodus prosopotaenia;Dischistodus;Pomacentridae
Dischistodus pseudochrysopoecilus;Dischistodus;Pomacentridae
Doratonotus megalepis;Doratonotus;Labridae
Doryrhamphus excisus;Doryrhamphus;Syngnathidae
Dotalabrus aurantiacus;Dotalabrus;Labridae
Dunckerocampus dactyliophorus;Dunckerocampus;Syngnathidae
Echeneis naucrates;Echeneis;Echeneidae
Echeneis neucratoides;Echeneis;Echeneidae
Echidna nebulosa;Echidna;Muraenidae
Echidna nocturna;Echidna;Muraenidae
Ecsenius aequalis;Ecsenius;Blenniidae
Ecsenius alleni;Ecsenius;Blenniidae
Ecsenius australianus;Ecsenius;Blenniidae
Ecsenius bandanus;Ecsenius;Blenniidae
Ecsenius bathi;Ecsenius;Blenniidae
Ecsenius bicolor;Ecsenius;Blenniidae
Ecsenius fijiensis;Ecsenius;Blenniidae
Ecsenius fourmanoiri;Ecsenius;Blenniidae
Ecsenius lineatus;Ecsenius;Blenniidae
Ecsenius lividanalis;Ecsenius;Blenniidae
Ecsenius mandibularis;Ecsenius;Blenniidae
Ecsenius midas;Ecsenius;Blenniidae
Ecsenius minutus;Ecsenius;Blenniidae
Ecsenius nalolo;Ecsenius;Blenniidae
Ecsenius namiyei;Ecsenius;Blenniidae
Ecsenius oculatus;Ecsenius;Blenniidae
Ecsenius ops;Ecsenius;Blenniidae
Ecsenius prooculis;Ecsenius;Blenniidae
Ecsenius schroederi;Ecsenius;Blenniidae
Ecsenius stictus;Ecsenius;Blenniidae
Ecsenius stigmatura;Ecsenius;Blenniidae
Ecsenius tigris;Ecsenius;Blenniidae
Ecsenius trilineatus;Ecsenius;Blenniidae
Ecsenius yaeyamaensis;Ecsenius;Blenniidae
Elacatinus evelynae;Elacatinus;Gobiidae
Elacatinus figaro;Elacatinus;Gobiidae
Elacatinus genie;Elacatinus;Gobiidae
Elacatinus lobeli;Elacatinus;Gobiidae
Elacatinus oceanops;Elacatinus;Gobiidae
Elacatinus prochilos;Elacatinus;Gobiidae
Elacatinus puncticulatus;Elacatinus;Gobiidae
Elacatinus randalli;Elacatinus;Gobiidae
Elacatinus saucrus;Elacatinus;Gobiidae
Elacatinus xanthiprora;Elacatinus;Gobiidae
Elagatis bipinnulata;Elagatis;Carangidae
Elops affinis;Elops;Elopidae
Emblemariopsis signifer;Emblemariopsis;Chaenopsidae
Enchelycore ramosa;Enchelycore;Muraenidae
Enneapterygius flavoccipitis;Enneapterygius;Tripterygiidae
Enneapterygius rufopileus;Enneapterygius;Tripterygiidae
Enneapterygius similis;Enneapterygius;Tripterygiidae
Enneapterygius tutuilae;Enneapterygius;Tripterygiidae
Epibulus brevis;Epibulus;Labridae
Epibulus insidiator;Epibulus;Labridae
Epinephelus adscensionis;Epinephelus;Serranidae
Epinephelus bilobatus;Epinephelus;Serranidae
Epinephelus bleekeri;Epinephelus;Serranidae
Epinephelus coeruleopunctatus;Epinephelus;Serranidae
Epinephelus coioides;Epinephelus;Serranidae
Epinephelus corallicola;Epinephelus;Serranidae
Epinephelus cyanopodus;Epinephelus;Serranidae
Epinephelus daemelii;Epinephelus;Serranidae
Epinephelus fasciatus;Epinephelus;Serranidae
Epinephelus fuscoguttatus;Epinephelus;Serranidae
Epinephelus guttatus;Epinephelus;Serranidae
Epinephelus hexagonatus;Epinephelus;Serranidae
Epinephelus howlandi;Epinephelus;Serranidae
Epinephelus irroratus;Epinephelus;Serranidae
Epinephelus itajara;Epinephelus;Serranidae
Epinephelus labriformis;Epinephelus;Serranidae
Epinephelus lanceolatus;Epinephelus;Serranidae
Epinephelus longispinis;Epinephelus;Serranidae
Epinephelus macrospilos;Epinephelus;Serranidae
Epinephelus maculatus;Epinephelus;Serranidae
Epinephelus malabaricus;Epinephelus;Serranidae
Epinephelus melanostigma;Epinephelus;Serranidae
Epinephelus merra;Epinephelus;Serranidae
Epinephelus morio;Epinephelus;Serranidae
Epinephelus multinotatus;Epinephelus;Serranidae
Epinephelus octofasciatus;Epinephelus;Serranidae
Epinephelus ongus;Epinephelus;Serranidae
Epinephelus polyphekadion;Epinephelus;Serranidae
Epinephelus quoyanus;Epinephelus;Serranidae
Epinephelus rivulatus;Epinephelus;Serranidae
Epinephelus socialis;Epinephelus;Serranidae
Epinephelus spilotoceps;Epinephelus;Serranidae
Epinephelus striatus;Epinephelus;Serranidae
Epinephelus tauvina;Epinephelus;Serranidae
Epinephelus tukula;Epinephelus;Serranidae
Epinephelus undulatostriatus;Epinephelus;Serranidae
Equetus punctatus;Equetus;Sciaenidae
Eucrossorhinus dasypogon;Eucrossorhinus;Orectolobidae
Euthynnus affinis;Euthynnus;Scombridae
Euthynnus lineatus;Euthynnus;Scombridae
Eviota  punctulata;Eviota;Gobiidae
Eviota albolineata;Eviota;Gobiidae
Eviota atriventris;Eviota;Gobiidae
Eviota bifasciata;Eviota;Gobiidae
Eviota bimaculata;Eviota;Gobiidae
Eviota fasciola;Eviota;Gobiidae
Eviota guttata;Eviota;Gobiidae
Eviota hoesei;Eviota;Gobiidae
Eviota latifasciata;Eviota;Gobiidae
Eviota melasma;Eviota;Gobiidae
Eviota mikiae;Eviota;Gobiidae
Eviota nigriventris;Eviota;Gobiidae
Eviota pellucida;Eviota;Gobiidae
Eviota prasites;Eviota;Gobiidae
Eviota queenslandica;Eviota;Gobiidae
Eviota raja;Eviota;Gobiidae
Eviota rubriceps;Eviota;Gobiidae
Eviota sebreei;Eviota;Gobiidae
Eviota sigillata;Eviota;Gobiidae
Eviota storthynx;Eviota;Gobiidae
Eviota zebrina;Eviota;Gobiidae
Exallias brevis;Exallias;Blenniidae
Exyrias belissimus;Exyrias;Gobiidae
Fistularia commersonii;Fistularia;Fistulariidae
Fistularia petimba;Fistularia;Fistulariidae
Fistularia tabacaria;Fistularia;Fistulariidae
Forcipiger flavissimus;Forcipiger;Chaetodontidae
Forcipiger longirostris;Forcipiger;Chaetodontidae
Fusigobius duospilus;Fusigobius;Gobiidae
Fusigobius inframaculatus;Fusigobius;Gobiidae
Fusigobius melacron;Fusigobius;Gobiidae
Fusigobius neophytus;Fusigobius;Gobiidae
Fusigobius signipinnis;Fusigobius;Gobiidae
Galeocerdo cuvier;Galeocerdo;Carcharhinidae
Genicanthus lamarck;Genicanthus;Pomacanthidae
Genicanthus melanospilos;Genicanthus;Pomacanthidae
Genicanthus semicinctus;Genicanthus;Pomacanthidae
Genicanthus watanabei;Genicanthus;Pomacanthidae
Gerres cinereus;Gerres;Gerreidae
Gerres subfasciatus;Gerres;Gerreidae
Ginglymostoma cirratum;Ginglymostoma;Ginglymostomatidae
Girella cyanea;Girella;Kyphosidae
Girella freminvillii;Girella;Kyphosidae
Gladiogobius  brevispinis;Gladiogobius;Gobiidae
Glaucosoma magnificum;Glaucosoma;Glaucosomatidae
Glyptoparus delicatulus;Glyptoparus;Blenniidae
Gnathanodon speciosus;Gnathanodon;Carangidae
Gnathodentex aureolineatus;Gnathodentex;Lethrinidae
Gnatholepis anjerensis;Gnatholepis;Gobiidae
Gnatholepis cauerensis;Gnatholepis;Gobiidae
Gnatholepis thompsoni;Gnatholepis;Gobiidae
Gobiodon  histrio;Gobiodon;Gobiidae
Gobiodon citrinus;Gobiodon;Gobiidae
Gobiodon heterospilos;Gobiodon;Gobiidae
Gobiodon histrio;Gobiodon;Gobiidae
Gobiodon okinawae;Gobiodon;Gobiidae
Gobiodon quinquestrigatus;Gobiodon;Gobiidae
Gobiodon spilophthalmus;Gobiodon;Gobiidae
Gomphosus caeruleus;Gomphosus;Labridae
Gomphosus varius;Gomphosus;Labridae
Goniistius plessisi;Goniistius;Latridae
Gorgasia galzini;Gorgasia;Congridae
Gracila albomarginata;Gracila;Serranidae
Gramma brasiliensis;Gramma;Grammatidae
Gramma loreto;Gramma;Grammatidae
Grammatorcynus bicarinatus;Grammatorcynus;Scombridae
Grammatorcynus bilineatus;Grammatorcynus;Scombridae
Grammistes sexlineatus;Grammistes;Serranidae
Gunnellichthys monostigma;Gunnellichthys;Microdesmidae
Gymnocaesio gymnoptera;Gymnocaesio;Caesionidae
Gymnocranius audleyi;Gymnocranius;Lethrinidae
Gymnocranius euanus;Gymnocranius;Lethrinidae
Gymnocranius microdon;Gymnocranius;Lethrinidae
Gymnocranius superciliosus;Gymnocranius;Lethrinidae
Gymnomuraena zebra;Gymnomuraena;Muraenidae
Gymnosarda unicolor;Gymnosarda;Scombridae
Gymnothorax annasona;Gymnothorax;Muraenidae
Gymnothorax breedeni;Gymnothorax;Muraenidae
Gymnothorax castaneus;Gymnothorax;Muraenidae
Gymnothorax dovii;Gymnothorax;Muraenidae
Gymnothorax eurostus;Gymnothorax;Muraenidae
Gymnothorax favagineus;Gymnothorax;Muraenidae
Gymnothorax flavimarginatus;Gymnothorax;Muraenidae
Gymnothorax funebris;Gymnothorax;Muraenidae
Gymnothorax isingteena;Gymnothorax;Muraenidae
Gymnothorax javanicus;Gymnothorax;Muraenidae
Gymnothorax meleagris;Gymnothorax;Muraenidae
Gymnothorax miliaris;Gymnothorax;Muraenidae
Gymnothorax moringa;Gymnothorax;Muraenidae
Gymnothorax nubilus;Gymnothorax;Muraenidae
Gymnothorax panamensis;Gymnothorax;Muraenidae
Gymnothorax pictus;Gymnothorax;Muraenidae
Gymnothorax porphyreus;Gymnothorax;Muraenidae
Gymnothorax prionodon;Gymnothorax;Muraenidae
Gymnothorax thrysoideus;Gymnothorax;Muraenidae
Gymnothorax undulatus;Gymnothorax;Muraenidae
Haemulon album;Haemulon;Haemulidae
Haemulon aurolineatum;Haemulon;Haemulidae
Haemulon carbonarium;Haemulon;Haemulidae
Haemulon chrysargyreum;Haemulon;Haemulidae
Haemulon flaviguttatum;Haemulon;Haemulidae
Haemulon flavolineatum;Haemulon;Haemulidae
Haemulon macrostomum;Haemulon;Haemulidae
Haemulon maculicauda;Haemulon;Haemulidae
Haemulon parra;Haemulon;Haemulidae
Haemulon plumierii;Haemulon;Haemulidae
Haemulon sciurus;Haemulon;Haemulidae
Haemulon scudderii;Haemulon;Haemulidae
Haemulon sexfasciatum;Haemulon;Haemulidae
Haemulon steindachneri;Haemulon;Haemulidae
Halichoeres adustus;Halichoeres;Labridae
Halichoeres argus;Halichoeres;Labridae
Halichoeres biocellatus;Halichoeres;Labridae
Halichoeres bivittatus;Halichoeres;Labridae
Halichoeres brasiliensis;Halichoeres;Labridae
Halichoeres brownfieldi;Halichoeres;Labridae
Halichoeres chierchiae;Halichoeres;Labridae
Halichoeres chloropterus;Halichoeres;Labridae
Halichoeres chrysus;Halichoeres;Labridae
Halichoeres cosmetus;Halichoeres;Labridae
Halichoeres cyanocephalus;Halichoeres;Labridae
Halichoeres dimidiatus;Halichoeres;Labridae
Halichoeres discolor;Halichoeres;Labridae
Halichoeres dispilus;Halichoeres;Labridae
Halichoeres erdmanni;Halichoeres;Labridae
Halichoeres garnoti;Halichoeres;Labridae
Halichoeres hartzfeldii;Halichoeres;Labridae
Halichoeres hortulanus;Halichoeres;Labridae
Halichoeres iridis;Halichoeres;Labridae
Halichoeres leucoxanthus;Halichoeres;Labridae
Halichoeres leucurus;Halichoeres;Labridae
Halichoeres maculipinna;Halichoeres;Labridae
Halichoeres malpelo;Halichoeres;Labridae
Halichoeres margaritaceus;Halichoeres;Labridae
Halichoeres marginatus;Halichoeres;Labridae
Halichoeres melanochir;Halichoeres;Labridae
Halichoeres melanurus;Halichoeres;Labridae
Halichoeres melasmapomus;Halichoeres;Labridae
Halichoeres miniatus;Halichoeres;Labridae
Halichoeres nebulosus;Halichoeres;Labridae
Halichoeres nicholsi;Halichoeres;Labridae
Halichoeres nigrescens;Halichoeres;Labridae
Halichoeres notospilus;Halichoeres;Labridae
Halichoeres orientalis;Halichoeres;Labridae
Halichoeres ornatissimus;Halichoeres;Labridae
Halichoeres pictus;Halichoeres;Labridae
Halichoeres poeyi;Halichoeres;Labridae
Halichoeres prosopeion;Halichoeres;Labridae
Halichoeres radiatus;Halichoeres;Labridae
Halichoeres richmondi;Halichoeres;Labridae
Halichoeres salmofasciatus;Halichoeres;Labridae
Halichoeres scapularis;Halichoeres;Labridae
Halichoeres semicinctus;Halichoeres;Labridae
Halichoeres solorensis;Halichoeres;Labridae
Halichoeres timorensis;Halichoeres;Labridae
Halichoeres trimaculatus;Halichoeres;Labridae
Helcogramma chica;Helcogramma;Tripterygiidae
Helcogramma maldivensis;Helcogramma;Tripterygiidae
Helcogramma striatum;Helcogramma;Tripterygiidae
Hemiglyphidodon plagiometopon;Hemiglyphidodon;Pomacentridae
Hemigymnus fasciatus;Hemigymnus;Labridae
Hemigymnus melapterus;Hemigymnus;Labridae
Hemiscyllium ocellatum;Hemiscyllium;Hemiscylliidae
Hemiscyllium trispeculare;Hemiscyllium;Hemiscylliidae
Hemitaurichthys multispinosus;Hemitaurichthys;Chaetodontidae
Hemitaurichthys polylepis;Hemitaurichthys;Chaetodontidae
Hemitaurichthys thompsoni;Hemitaurichthys;Chaetodontidae
Hemitaurichthys zoster;Hemitaurichthys;Chaetodontidae
Heniochus acuminatus;Heniochus;Chaetodontidae
Heniochus chrysostomus;Heniochus;Chaetodontidae
Heniochus diphreutes;Heniochus;Chaetodontidae
Heniochus intermedius;Heniochus;Chaetodontidae
Heniochus monoceros;Heniochus;Chaetodontidae
Heniochus pleurotaenia;Heniochus;Chaetodontidae
Heniochus singularius;Heniochus;Chaetodontidae
Heniochus varius;Heniochus;Chaetodontidae
Heteroconger hassi;Heteroconger;Congridae
Heteroconger klausewitzi;Heteroconger;Congridae
Heteropriacanthus cruentatus;Heteropriacanthus;Priacanthidae
Hippocampus bargibanti;Hippocampus;Syngnathidae
Hipposcarus harid;Hipposcarus;Scaridae
