"","station","lat","long","site35","site30","site25","site20","site10","site5"
"259","marseille",43.27953,5.34951,"site42","site42","site45","site46","site63","site84"
"260","tombant_americain",43.681816,7.302233,"site40","site40","site43","site44","site57","site76"
"261","LENG002",-4.11588,132.97463,"site43","site43","site46","site49","site64","site85"
"262","LENG003",-4.11785,133.01915,"site43","site43","site46","site49","site64","site86"
"263","LENG004",-4.11746,133.02032,"site43","site43","site46","site49","site64","site86"
"264","LENG005",-4.06037,133.05912,"site43","site43","site46","site49","site65","site87"
"265","LENG006",-4.11746,133.02032,"site43","site43","site46","site49","site64","site86"
"266","LENG007",-4.12453,132.97571,"site43","site43","site46","site49","site64","site85"
"267","LENG008",-4.13307,132.97514,"site43","site43","site46","site49","site64","site85"
"268","LENG009",-4.13307,132.97514,"site43","site43","site46","site49","site64","site85"
"269","LENG010",-4.13565,132.97421,"site43","site43","site46","site49","site64","site85"
"270","LENG011",-4.12602,132.9769,"site43","site43","site46","site49","site64","site85"
"271","LENG012",-4.08471,132.91273,"site43","site43","site46","site49","site66","site88"
"272","LENG013",-4.32327,133.50134,"site44","site44","site47","site50","site67","site89"
"273","LENG014",-4.32135,133.49826,"site44","site44","site47","site50","site67","site89"
"274","LENG015",-4.32225,133.49443,"site44","site44","site47","site50","site67","site89"
"275","LENG016",-4.33406,133.50023,"site44","site44","site47","site50","site67","site89"
"276","LENG017",-4.33682,133.4866,"site44","site44","site47","site50","site67","site89"
"277","LENG018",-3.90609,134.03523,"site45","site45","site48","site51","site68","site90"
"278","LENG019",-3.90622,134.03543,"site45","site45","site48","site51","site68","site90"
"279","LENG020",-3.90981,134.0777,"site45","site45","site48","site51","site68","site90"
"280","LENG021",-3.90956,134.07967,"site45","site45","site48","site51","site68","site90"
"281","LENG022",-3.90956,134.07967,"site45","site45","site48","site51","site68","site90"
"282","LENG023",-3.72099,134.09822,"site45","site45","site48","site52","site69","site91"
"283","LENG023",-3.72398,134.10167,"site45","site45","site48","site52","site69","site91"
"284","LENG024",-3.79458,134.12033,"site45","site45","site48","site52","site70","site92"
"285","LENG025",-3.79458,134.12033,"site45","site45","site48","site52","site70","site92"
"286","LENG026",-3.77847,134.1613,"site45","site45","site48","site52","site71","site93"
"287","LENG027",-3.77903,134.16254,"site45","site45","site48","site52","site71","site93"
"288","LENG028",-3.8319,134.09264,"site45","site45","site48","site52","site70","site94"
"289","LENG029",-3.8319,134.09264,"site45","site45","site48","site52","site70","site94"
"290","LENG030",-4.01173,134.20171,"site46","site46","site49","site53","site72","site95"
"291","LENG031",-4.01173,134.20171,"site46","site46","site49","site53","site72","site95"
"292","LENG032",-4.01173,134.20171,"site46","site46","site49","site53","site72","site95"
"293","LENG033",-4.03573,134.48901,"site47","site47","site50","site54","site73","site96"
"294","LENG034",-4.03573,134.48901,"site47","site47","site50","site54","site73","site96"
"295","LENG035",-4.03573,134.48901,"site47","site47","site50","site54","site73","site96"
"296","LENG036",-3.93996,134.74069,"site47","site47","site51","site55","site74","site97"
"297","LENG036",-3.94102,134.74156,"site47","site47","site51","site55","site74","site97"
"298","LENG037",-4.03521,134.28719,"site46","site46","site49","site53","site72","site98"
"299","LENG038",-4.03521,134.28719,"site46","site46","site49","site53","site72","site98"
"300","LENG039",-4.03521,134.28719,"site46","site46","site49","site53","site72","site98"
"301","LENG040",-3.77537,134.20151,"site45","site45","site48","site52","site71","site93"
"302","LENG041",-4.06772,133.03728,"site43","site43","site46","site49","site65","site87"
"303","LENG042",-4.06683,133.03258,"site43","site43","site46","site49","site65","site87"
"304","LENG043",-4.06683,133.03258,"site43","site43","site46","site49","site65","site87"
"305","LENG044",-4.06837,133.03748,"site43","site43","site46","site49","site65","site87"
"306","LENG045",-3.93609,132.80188,"site48","site48","site52","site56","site75","site99"
"307","LENG046",-3.93609,132.80188,"site48","site48","site52","site56","site75","site99"
"308","LENG047",-3.93609,132.80188,"site48","site48","site52","site56","site75","site99"
"309","LENG048",-3.93424,132.78685,"site48","site48","site52","site56","site75","site99"
"310","LENG049",-3.93543,132.76505,"site48","site48","site52","site56","site75","site100"
"311","LENG050",-3.92841,132.82257,"site48","site48","site52","site56","site75","site99"
"312","LENG051",-3.22096,133.67038,"site49","site49","site53","site57","site76","site101"
"313","LENG052",-3.30699,133.66507,"site49","site49","site53","site57","site76","site102"
"314","LENG053",-2.99063,131.93184,"site50","site50","site54","site58","site77","site103"
"315","LENG054",-3.00112,131.93817,"site50","site50","site54","site58","site77","site103"
"316","LENG055",-2.65144,131.60634,"site51","site51","site55","site59","site78","site104"
"317","LENG056",-2.67144,131.59814,"site51","site51","site55","site59","site78","site104"
"318","LENG057",-0.95288,130.60258,"site52","site52","site56","site60","site79","site105"
"319","LENG058",-0.95288,130.60258,"site52","site52","site56","site60","site79","site105"
"320","NOUMEA_BAIE",-22.22650001,166.368821,"site53","site53","site57","site61","site80","site106"
"321","NOUMEA_BAIE",-22.21940196,166.369674,"site53","site53","site57","site61","site80","site106"
"322","NOUMEA_BAIE",-22.22150599,166.379831,"site53","site53","site57","site61","site80","site106"
"323","NOUMEA_LAGON",-22.29461798,166.366385,"site53","site53","site57","site61","site80","site107"
"324","NOUMEA_LAGON",-22.29926499,166.36528,"site53","site53","site57","site61","site80","site107"
"325","NOUMEA_LAGON",-22.28809602,166.356277,"site53","site53","site57","site61","site80","site107"
"326","NOUMEA_FONDS_BLANCS",-22.28450504,166.221832,"site53","site53","site57","site62","site81","site108"
"327","NOUMEA_FONDS_BLANCS",-22.28308397,166.21072,"site53","site53","site57","site62","site81","site108"
"328","NOUMEA_FONDS_BLANCS",-22.27208901,166.201926,"site53","site53","site57","site62","site81","site108"
"329","NOUMEA_BARRIERE_EXTERNE",-22.35017097,166.233112,"site53","site53","site57","site62","site81","site109"
"330","NOUMEA_BARRIERE_EXTERNE",-22.34168102,166.229977,"site53","site53","site57","site62","site81","site109"
"331","NOUMEA_BARRIERE_EXTERNE",-22.32065602,166.217878,"site53","site53","site57","site62","site81","site109"
"332","STVINCENT_BAIE",-21.98009997,166.04873,"site54","site54","site58","site63","site82","site110"
"333","STVINCENT_BAIE",-21.97654202,166.033312,"site54","site54","site58","site63","site82","site110"
"334","STVINCENT_BAIE",-21.97167397,166.037934,"site54","site54","site58","site63","site82","site110"
"335","STVINCENT_LAGON",-22.022961,165.984781,"site54","site54","site58","site63","site83","site111"
"336","STVINCENT_LAGON",-22.020646,165.994456,"site54","site54","site58","site63","site83","site111"
"337","STVINCENT_LAGON",-22.01984603,166.000649,"site54","site54","site58","site63","site83","site111"
"338","STVINCENT_FONDS_BLANCS",-22.03110502,165.96515,"site54","site54","site58","site63","site83","site112"
"339","STVINCENT_FONDS_BLANCS",-22.03445401,165.96985,"site54","site54","site58","site63","site83","site112"
"340","STVINCENT_FONDS_BLANCS",-22.05089402,165.980551,"site54","site54","site58","site63","site83","site112"
"341","STVINCENT_BARRIERE_EXTERNE",-22.07648397,165.978274,"site54","site54","site58","site63","site83","site113"
"342","STVINCENT_BARRIERE_EXTERNE",-22.06782396,165.973843,"site54","site54","site58","site63","site83","site113"
"343","STVINCENT_BARRIERE_EXTERNE",-22.05091104,165.961204,"site54","site54","site58","site63","site83","site112"
"344","BOURAIL_BAIE",-21.62330196,165.450172,"site55","site55","site59","site64","site84","site114"
"345","BOURAIL_BAIE",-21.62211701,165.44939,"site55","site55","site59","site64","site84","site114"
"346","BOURAIL_BAIE",-21.64239502,165.467292,"site55","site55","site59","site64","site84","site114"
"347","BOURAIL_LAGON",-21.74434997,165.561206,"site55","site55","site59","site64","site85","site115"
"348","BOURAIL_LAGON",-21.74347197,165.554044,"site55","site55","site59","site64","site85","site115"
"349","BOURAIL_LAGON",-21.73816597,165.545243,"site55","site55","site59","site64","site85","site115"
"350","BOURAIL_FONDS_BLANCS",-21.70477096,165.488727,"site55","site55","site59","site64","site86","site116"
"351","BOURAIL_FONDS_BLANCS",-21.696566,165.481624,"site55","site55","site59","site64","site86","site116"
"352","BOURAIL_FONDS_BLANCS",-21.68916897,165.474884,"site55","site55","site59","site64","site86","site116"
"353","BOURAIL_BARRIERE_EXTERNE",-21.68929503,165.461305,"site55","site55","site59","site64","site86","site117"
"354","BOURAIL_BARRIERE_EXTERNE",-21.67557604,165.455735,"site55","site55","site59","site64","site86","site117"
"355","BOURAIL_BARRIERE_EXTERNE",-21.662742,165.446166,"site55","site55","site59","site64","site86","site117"
"356","NEPOUI_BAIE",-21.35807399,164.979331,"site56","site56","site60","site65","site87","site118"
"357","NEPOUI_BAIE",-21.35108398,164.977454,"site56","site56","site60","site65","site87","site118"
"358","NEPOUI_BAIE",-21.35615897,164.981901,"site56","site56","site60","site65","site87","site118"
"359","NEPOUI_LAGON",-21.39155801,164.975569,"site56","site56","site60","site65","site87","site118"
"360","NEPOUI_LAGON",-21.386507,164.982904,"site56","site56","site60","site65","site87","site118"
"361","NEPOUI_LAGON",-21.37910502,164.98312,"site56","site56","site60","site65","site87","site118"
"362","NEPOUI_FONDS_BLANCS",-21.39020098,164.951005,"site56","site56","site60","site65","site88","site119"
"363","NEPOUI_FONDS_BLANCS",-21.38586997,164.945605,"site56","site56","site60","site65","site88","site119"
"364","NEPOUI_FONDS_BLANCS",-21.38726497,164.937613,"site56","site56","site60","site65","site88","site119"
"365","NEPOUI_BARRIERE_EXTERNE",-21.39848499,164.918786,"site56","site56","site60","site65","site88","site119"
"366","NEPOUI_BARRIERE_EXTERNE",-21.38815798,164.897325,"site56","site56","site60","site65","site88","site120"
"367","NEPOUI_BARRIERE_EXTERNE",-21.38651504,164.895984,"site56","site56","site60","site65","site88","site120"
"368","GATOPE_BAIE",-20.95572998,164.613488,"site57","site57","site61","site66","site89","site121"
"369","GATOPE_BAIE",-20.95155001,164.620238,"site57","site57","site61","site66","site89","site121"
"370","GATOPE_BAIE",-20.96201196,164.63046,"site57","site57","site61","site66","site89","site121"
"371","GATOPE_LAGON",-20.96982297,164.608105,"site57","site57","site61","site66","site89","site121"
"372","GATOPE_LAGON",-20.96426703,164.605733,"site57","site57","site61","site66","site89","site121"
"373","GATOPE_LAGON",-20.959544,164.601102,"site57","site57","site61","site66","site89","site121"
"374","GATOPE_FONDS_BLANCS",-20.97107003,164.606232,"site57","site57","site61","site66","site89","site121"
"375","GATOPE_FONDS_BLANCS",-20.95967903,164.595707,"site57","site57","site61","site66","site89","site121"
"376","GATOPE_FONDS_BLANCS",-20.95097702,164.586165,"site57","site57","site61","site66","site89","site121"
"377","GATOPE_BARRIERE_EXTERNE",-21.00414301,164.590195,"site57","site57","site61","site66","site89","site122"
"378","GATOPE_BARRIERE_EXTERNE",-21.00147497,164.581627,"site57","site57","site61","site66","site89","site122"
"379","GATOPE_BARRIERE_EXTERNE",-20.99376303,164.575358,"site57","site57","site61","site66","site89","site122"
"380","GOLONE_BAIE",-20.33672299,164.12554,"site58","site58","site62","site67","site90","site123"
"381","GOLONE_BAIE",-20.34456401,164.128379,"site58","site58","site62","site67","site90","site123"
"382","GOLONE_BAIE",-20.34452403,164.1217,"site58","site58","site62","site67","site90","site123"
"383","GOLONE_LAGON",-20.39139303,164.02002,"site58","site58","site62","site68","site91","site124"
"384","GOLONE_LAGON",-20.38958204,164.029432,"site58","site58","site62","site68","site91","site124"
"385","GOLONE_LAGON",-20.37757698,164.027466,"site58","site58","site62","site68","site91","site124"
"386","GOLONE_FONDS_BLANCS",-20.37520699,163.940367,"site58","site58","site62","site68","site92","site125"
"387","GOLONE_FONDS_BLANCS",-20.36849703,163.935579,"site58","site58","site62","site68","site92","site125"
"388","GOLONE_FONDS_BLANCS",-20.36162001,163.932218,"site58","site58","site62","site68","site92","site125"
"389","GOLONE_BARRIERE_EXTERNE",-20.38080602,163.934214,"site58","site58","site62","site68","site92","site125"
"390","GOLONE_BARRIERE_EXTERNE",-20.37345199,163.929701,"site58","site58","site62","site68","site92","site125"
"391","GOLONE_BARRIERE_EXTERNE",-20.364925,163.924875,"site58","site58","site62","site68","site92","site125"
"392","SM00101",-22.1632167,166.0911167,"site54","site59","site63","site69","site93","site126"
"393","SM00102",-22.1493167,166.0713333,"site54","site59","site63","site69","site93","site126"
"394","SM00103",-22.0399,165.95378,"site54","site54","site58","site63","site83","site112"
"395","SM00104",-22.13581,166.04781,"site54","site59","site63","site69","site93","site127"
"396","SM00105",-22.13098,166.03284,"site54","site59","site63","site69","site93","site127"
"397","SM00106",-22.12209,166.0147,"site54","site59","site63","site69","site93","site127"
"398","SM00107",-22.1,165.98333,"site54","site54","site58","site63","site83","site113"
"399","SM00108",-22.08215,165.976,"site54","site54","site58","site63","site83","site113"
"400","SM00109",-22.0685,165.97032,"site54","site54","site58","site63","site83","site113"
"401","SM00110",-22.03333,165.95,"site54","site54","site58","site63","site83","site112"
"402","SM00201",-21.46667,165.03333,"site56","site56","site60","site65","site94","site128"
"403","SM00202",-21.45483,165.04361,"site56","site56","site60","site65","site94","site128"
"404","SM00203",-21.44233,165.03484,"site56","site56","site60","site65","site94","site128"
"405","SM00204",-21.4381,165.02058,"site56","site56","site60","site65","site94","site128"
"406","SM00205",-21.44214,165.00621,"site56","site56","site60","site65","site94","site128"
"407","SM00206",-21.4406667,165.0345,"site56","site56","site60","site65","site94","site128"
"408","SM00207",-21.40673,164.92316,"site56","site56","site60","site65","site88","site119"
"409","SM00208",-21.39759,164.90327,"site56","site56","site60","site65","site88","site120"
"410","SM00209",-21.38347,164.88029,"site56","site56","site60","site65","site88","site120"
"411","SM00210",-21.37535,164.87529,"site56","site56","site60","site65","site88","site120"
"412","SM00301",-23.3911667,168.065,"site59","site60","site64","site70","site95","site129"
"413","SM00302",-23.4006667,168.0506667,"site59","site60","site64","site70","site95","site129"
"414","SM00303",-23.4105,168.0671667,"site59","site60","site64","site70","site95","site129"
"415","SM00304",-23.42,168.0816667,"site59","site60","site64","site70","site95","site129"
"416","SM00305",-23.4048333,168.0825,"site59","site60","site64","site70","site95","site129"
"417","SM00306",-23.4368166666667,168.082233333333,"site59","site60","site64","site70","site95","site130"
"418","SM00307",-23.4514666666667,168.069933333333,"site59","site60","site64","site70","site95","site130"
"419","SM00308",-23.4669,168.07849,"site59","site60","site64","site70","site95","site130"
"420","SM00309",-23.470375,168.098366666667,"site59","site60","site64","site70","site95","site130"
"421","SM00310",-23.4501333333333,168.092383333333,"site59","site60","site64","site70","site95","site130"
"422","SM00401",-22.3744,167.40445,"site60","site61","site65","site71","site96","site131"
"423","SM00402",-22.3808666666667,167.3998,"site60","site61","site65","site71","site96","site131"
"424","SM00403",-22.3847833333333,167.394966666667,"site60","site61","site65","site71","site96","site131"
"425","SM00404",-22.3901166666667,167.395166666667,"site60","site61","site65","site71","site96","site131"
"426","SM00405",-22.39565,167.40425,"site60","site61","site65","site71","site96","site131"
"427","SM00406",-22.3912,167.411583333333,"site60","site61","site65","site71","site96","site131"
"428","SM00407",-22.3854666666667,167.414816666667,"site60","site61","site65","site71","site96","site131"
"429","SM00408",-22.37795,167.410866666667,"site60","site61","site65","site71","site96","site131"
"430","SM00409",-22.386925,167.401833333333,"site60","site61","site65","site71","site96","site131"
"431","SM00410",-22.38155,167.4081667,"site60","site61","site65","site71","site96","site131"
"432","SM00501",-23.6618,168.000383333333,"site61","site62","site66","site72","site97","site132"
"433","SM00502",-23.6706666666667,168.000916666667,"site61","site62","site66","site72","site97","site132"
"434","SM00503",-23.6789666666667,168.003366666667,"site61","site62","site66","site72","site97","site133"
"435","SM00504",-23.661,168.014166666667,"site61","site62","site66","site72","site97","site132"
"436","SM00505",-23.6694833333333,168.013533333333,"site61","site62","site66","site72","site97","site132"
"437","SM00506",-23.6787333333333,168.0125,"site61","site62","site66","site72","site97","site133"
"438","SM00507",-23.69304,168.01192,"site61","site62","site66","site72","site97","site133"
"439","SM00508",-23.6962,168.012383333333,"site61","site62","site66","site72","site97","site133"
"440","SM00509",-23.6882833333333,168.002733333333,"site61","site62","site66","site72","site97","site133"
"441","SM00510",-23.70904,168.01141,"site61","site62","site66","site72","site97","site133"
"442","SM00601",-23.6952166666667,167.75485,"site62","site63","site67","site73","site98","site134"
"443","SM00602",-23.6405833333333,167.684766666667,"site62","site63","site67","site73","site99","site135"
"444","SM00603",-23.6223333,167.7141667,"site62","site63","site67","site73","site99","site135"
"445","SM00604",-23.5963333,167.6903333,"site62","site63","site67","site73","site99","site136"
"446","SM00605",-23.6161667,167.6881667,"site62","site63","site67","site73","site99","site136"
"447","SM00606",-23.6618333333333,167.699833333333,"site62","site63","site67","site73","site99","site135"
"448","SM00607",-23.6864166666667,167.721016666667,"site62","site63","site67","site73","site98","site134"
"449","SM00608",-23.67705,167.742033333333,"site62","site63","site67","site73","site98","site134"
"450","SM00609",-23.6438666666667,167.725216666667,"site62","site63","site67","site73","site99","site135"
"451","SM00610",-23.6641666666667,167.720216666667,"site62","site63","site67","site73","site99","site135"
"452","SM00701",-24.7063,168.139883333333,"site63","site64","site68","site74","site100","site137"
"453","SM00702",-24.7215666666667,168.116566666667,"site63","site64","site68","site74","site100","site137"
"454","SM00703",-24.7288833333333,168.148083333333,"site63","site64","site68","site74","site100","site137"
"455","SM00704",-24.7195333333333,168.160616666667,"site63","site64","site68","site74","site100","site137"
"456","SM00705",-24.7433833333333,168.13055,"site63","site64","site68","site74","site100","site137"
"457","SM00706",-24.7583333333333,168.148133333333,"site63","site64","site68","site74","site101","site138"
"458","SM00707",-24.7716333333333,168.136366666667,"site63","site64","site68","site74","site101","site138"
"459","SM00708",-24.8028166666667,168.14795,"site63","site64","site68","site74","site101","site138"
"460","SM00709",-24.7782333333333,168.1586,"site63","site64","site68","site74","site101","site138"
"461","SM00710",-24.7416,168.159233333333,"site63","site64","site68","site74","site100","site137"
"462","SM00111",-22.20294,165.92043,"site54","site59","site63","site69","site102","site139"
"463","SM00111",-22.22655,165.93445,"site54","site59","site63","site69","site102","site139"
"464","SM00112",-22.1927,165.94017,"site54","site59","site63","site69","site102","site139"
"465","SM00112",-22.19775,165.93863,"site54","site59","site63","site69","site102","site139"
"466","SM00211",-21.45376,164.9077,"site56","site56","site60","site65","site103","site140"
"467","SM00211",-21.45303,164.90916,"site56","site56","site60","site65","site103","site140"
"468","SM00212",-21.48473,164.88559,"site56","site56","site60","site65","site103","site140"
"469","SM00212",-21.48333,164.88333,"site56","site56","site60","site65","site103","site140"
"470","SM00411",-22.35645,167.447433333333,"site60","site61","site65","site71","site104","site141"
"471","SM00411",-22.3566833333333,167.448216666667,"site60","site61","site65","site71","site104","site141"
"472","SM00412",-22.3125166666667,167.448216666667,"site60","site61","site65","site71","site104","site141"
"473","SM00412",-22.3132666666667,167.443816666667,"site60","site61","site65","site71","site104","site141"
"474","SM00311",-23.4340333333333,168.17055,"site59","site60","site64","site70","site105","site142"
"475","SM00311",-23.4340166666667,168.17175,"site59","site60","site64","site70","site105","site142"
"476","SM00312",-23.5328,168.07045,"site61","site62","site66","site75","site106","site143"
"477","SM00312",-23.5324,168.070466666667,"site61","site62","site66","site75","site106","site143"
"478","SM00511",-23.6354166666667,168.051233333333,"site61","site62","site66","site75","site107","site144"
"479","SM00511",-23.6359833333333,168.034566666667,"site61","site62","site66","site75","site107","site144"
"480","SM00511",-23.6363166666667,168.0552,"site61","site62","site66","site75","site107","site144"
"481","SM00511",-23.63465,168.05225,"site61","site62","site66","site75","site107","site144"
"482","SM00511",-23.6349666666667,168.0522,"site61","site62","site66","site75","site107","site144"
"483","SM00511",-23.6352333333333,168.052133333333,"site61","site62","site66","site75","site107","site144"
"484","SM00512",-23.73075,167.974283333333,"site61","site62","site66","site72","site97","site145"
"485","SM00512",-23.73135,167.974,"site61","site62","site66","site72","site97","site145"
"486","SM00512",-23.732,167.974166666667,"site61","site62","site66","site72","site97","site145"
"487","SM00512",-23.7305666666667,167.97385,"site61","site62","site66","site72","site97","site145"
"488","SM00512",-23.73065,167.973783333333,"site61","site62","site66","site72","site97","site145"
"489","SM00512",-23.7307666666667,167.973783333333,"site61","site62","site66","site72","site97","site145"
"490","SM00611",-23.6199,167.778783333333,"site62","site63","site67","site73","site98","site146"
"491","SM00611",-23.6204166666667,167.779533333333,"site62","site63","site67","site73","site98","site146"
"492","SM00611",-23.6207833333333,167.779966666667,"site62","site63","site67","site73","site98","site146"
"493","SM00611",-23.6205,167.778983333333,"site62","site63","site67","site73","site98","site146"
"494","SM00611",-23.6205,167.779216666667,"site62","site63","site67","site73","site98","site146"
"495","SM00611",-23.6209666666667,167.779283333333,"site62","site63","site67","site73","site98","site146"
"496","SM00612",-23.7069,167.799266666667,"site62","site63","site67","site73","site98","site147"
"497","SM00612",-23.7067666666667,167.799466666667,"site62","site63","site67","site73","site98","site147"
"498","SM00612",-23.7064833333333,167.7998,"site62","site63","site67","site73","site98","site147"
"499","SM00612",-23.7064666666667,167.79905,"site62","site63","site67","site73","site98","site147"
"500","SM00711",-24.6531333333333,168.125116666667,"site63","site64","site68","site74","site108","site148"
"501","SM00711",-24.6522833333333,168.12495,"site63","site64","site68","site74","site108","site148"
"502","SM00712",-24.7395333333333,168.202666666667,"site63","site64","site68","site74","site100","site149"
"503","SM00712",-24.73945,168.202733333333,"site63","site64","site68","site74","site100","site149"
"504","SM00712",-24.73955,168.202616666667,"site63","site64","site68","site74","site100","site149"
"505","SM00712",-24.7401333333333,168.202133333333,"site63","site64","site68","site74","site100","site149"
"506","SM00712",-24.7402166666667,168.202116666667,"site63","site64","site68","site74","site100","site149"
"507","SM00712",-24.74025,168.201983333333,"site63","site64","site68","site74","site100","site149"
